Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Location_Encoded,Condition_Encoded,Garage_Binary,Predicted_Price
92,3273,2,3,3,1957,Urban,Poor,No,802744,3,3,0,544711.5095743925
93,2070,2,2,2,2010,Downtown,Poor,No,458995,0,3,0,545166.7299877002
94,3190,3,2,3,1950,Downtown,Excellent,No,645316,0,0,0,569485.7700579826
95,4340,1,1,3,1983,Urban,Poor,Yes,997226,3,3,1,570816.6483479007
96,1528,2,3,1,1901,Rural,Poor,Yes,450327,1,3,1,500799.10132717143
97,1002,5,1,3,2014,Rural,Fair,Yes,816751,1,1,1,586432.3476291052
98,4993,3,4,3,1940,Downtown,Poor,Yes,715344,0,3,1,543931.6960245058
99,1370,3,4,1,1982,Rural,Fair,Yes,929608,1,1,1,505334.8192045308
100,4988,2,3,2,2022,Suburban,Good,No,777688,2,2,0,532882.1149418681
101,706,1,3,1,2000,Urban,Fair,Yes,305315,3,1,1,512124.5403512055
102,1984,5,4,1,1981,Downtown,Fair,Yes,339068,0,1,1,507831.1072954502
103,1363,1,3,2,1915,Suburban,Good,No,495919,2,2,0,522092.43627347786
104,3290,4,2,3,1903,Rural,Good,Yes,344721,1,2,1,560412.048382066
105,1063,4,2,2,1911,Suburban,Excellent,Yes,188783,2,0,1,541095.5299890304
106,4691,2,3,3,1928,Rural,Excellent,Yes,659836,1,0,1,557643.866931406
107,2257,2,4,3,1906,Downtown,Excellent,Yes,307288,0,0,1,548749.4029586972
108,2178,2,1,2,1913,Suburban,Excellent,No,543085,2,0,0,546702.12079972
109,3742,4,3,1,2018,Urban,Fair,No,545187,3,1,0,509526.63359926676
110,1559,1,3,2,1911,Downtown,Fair,Yes,699381,0,1,1,533157.900071533
111,2222,1,1,3,1998,Suburban,Excellent,No,285835,2,0,0,579770.852801358
112,3814,2,3,2,1904,Suburban,Poor,Yes,971600,2,3,1,521324.84472989384
113,3657,5,1,2,1980,Rural,Excellent,No,902987,1,0,0,556656.7020854036
114,3125,1,4,3,2021,Downtown,Poor,No,401992,0,3,0,549649.7659168703
115,3229,4,2,1,2005,Downtown,Good,No,256084,0,2,0,523353.7886075709
116,2097,3,4,2,1931,Downtown,Fair,No,844686,0,1,0,521680.79743353435
117,3560,3,2,3,1973,Downtown,Fair,No,437554,0,1,0,569357.7978037829
118,3193,3,1,3,1942,Rural,Poor,No,803315,1,3,0,568208.0194568888
119,4127,5,2,2,1980,Urban,Excellent,No,520336,3,0,0,541385.4901929486
120,1863,2,4,1,1968,Downtown,Fair,No,973469,0,1,0,502158.99855121743
121,2481,4,2,2,1944,Rural,Poor,No,258072,1,3,0,535262.0232233717
122,2163,5,1,1,2005,Urban,Good,No,298029,3,2,0,526089.6199026859
123,2029,4,2,1,1908,Urban,Good,No,259047,3,2,0,505152.7575202963
124,2538,4,3,1,1948,Rural,Fair,Yes,415169,1,1,1,511121.3856906072
125,3802,2,4,1,1932,Downtown,Excellent,No,180509,0,0,0,499935.56207413983
126,2737,3,3,2,1999,Urban,Poor,Yes,812072,3,3,1,529990.7207102402
127,1806,2,1,3,1999,Downtown,Fair,No,345107,0,1,0,582758.9445118739
128,4529,5,2,3,1917,Downtown,Good,Yes,577561,0,2,1,564224.684306043
129,3175,5,3,3,1908,Suburban,Excellent,Yes,589618,2,0,1,553792.8664795666
130,1782,5,3,3,1961,Downtown,Poor,Yes,202566,0,3,1,557727.8636004465
131,1209,2,2,3,1956,Suburban,Fair,No,650710,2,1,0,563055.2343932637
132,4913,4,2,3,1928,Urban,Poor,No,958521,3,3,0,551012.4904037435
133,4248,4,4,2,2013,Rural,Excellent,No,53212,1,0,0,530218.0640457822
134,1163,1,3,1,1977,Suburban,Excellent,No,282131,2,0,0,510657.70062610647
135,2498,5,3,3,1924,Rural,Good,Yes,526657,1,2,1,553282.3937492623
136,3945,4,1,2,1914,Urban,Excellent,No,661882,3,0,0,543821.6701224423
137,4243,1,4,3,1905,Downtown,Fair,No,182152,0,1,0,541308.4190852437
138,1995,4,1,3,2019,Urban,Poor,No,344819,3,3,0,572313.84848565
139,3804,5,3,1,1941,Rural,Excellent,No,72007,1,0,0,508698.81071291474
140,4263,3,1,1,1928,Urban,Excellent,No,688093,3,0,0,521497.5237671637
141,2353,5,3,1,1978,Downtown,Fair,No,394785,0,1,0,513426.7506713924
142,1791,2,3,3,1992,Urban,Poor,No,670103,3,3,0,549222.6803727502
143,4081,4,1,3,1903,Downtown,Poor,No,883247,0,3,0,566186.8121880785
144,3957,4,1,3,1981,Suburban,Good,Yes,919914,2,2,1,576292.1836745597
145,2136,2,2,1,2013,Rural,Good,Yes,837071,1,2,1,525686.3258919254
146,4196,2,2,2,1956,Downtown,Poor,No,375737,0,3,0,538268.3256369114
147,3499,3,2,3,1948,Downtown,Fair,No,562164,0,1,0,566565.7988818964
148,3652,4,3,3,1943,Urban,Fair,No,128038,3,1,0,548406.6169588098
149,1198,4,1,3,2002,Suburban,Good,No,406043,2,2,0,575861.0590851952
150,2660,3,4,2,1979,Downtown,Excellent,Yes,840168,0,0,1,533302.4765757674
151,4597,1,3,3,1974,Suburban,Fair,Yes,827794,2,1,1,557572.270311545
152,1354,3,4,2,1913,Suburban,Excellent,No,66473,2,0,0,517356.34570841544
153,3974,5,1,3,1902,Urban,Fair,Yes,703059,3,1,1,567518.1277768181
154,2207,4,3,2,2014,Downtown,Poor,Yes,175801,0,3,1,539754.6852965483
155,3277,2,4,3,2013,Urban,Good,No,944030,3,2,0,543660.8219304249
156,2233,5,4,1,1961,Rural,Excellent,No,660911,1,0,0,501623.196572755
157,4010,4,2,1,2005,Rural,Excellent,No,558252,1,0,0,525626.1756707807
158,702,3,2,1,1963,Downtown,Poor,Yes,275097,0,3,1,520742.7160102966
159,3755,5,2,1,2001,Suburban,Fair,Yes,348964,2,1,1,524107.4284837544
160,4718,4,3,3,1944,Downtown,Excellent,No,265933,0,0,0,558423.8317193522
161,4996,1,1,1,2005,Downtown,Fair,No,369733,0,1,0,534784.2489496975
162,1266,1,1,2,1981,Rural,Poor,Yes,771167,1,3,1,553285.7919053626
163,4889,2,2,1,1957,Rural,Good,Yes,330558,1,2,1,518321.721883989
164,2827,4,2,1,1919,Suburban,Excellent,No,439522,2,0,0,513816.2669084583
165,3431,1,2,1,1957,Suburban,Fair,Yes,74220,2,1,1,518745.8811289237
166,697,3,4,3,2011,Downtown,Excellent,No,634819,0,0,0,557450.0938906386
167,2430,4,2,1,1988,Urban,Fair,No,422146,3,1,0,516584.0455158543
168,4082,3,4,2,1956,Downtown,Fair,Yes,557409,0,1,1,527589.7936553437
169,1108,3,1,1,2001,Suburban,Fair,Yes,747785,2,1,1,534790.9853553737
170,3772,1,3,1,1976,Urban,Poor,Yes,59387,3,3,1,503091.4459854826
171,1647,4,3,1,1967,Rural,Good,No,295752,1,2,0,507171.14584723744
172,4782,5,3,2,2018,Suburban,Excellent,No,651103,2,0,0,538060.9439896084
173,3897,1,3,1,1977,Suburban,Good,No,601872,2,2,0,504455.022538462
174,3011,1,4,2,1996,Urban,Fair,No,619071,3,1,0,520645.9493804192
175,2294,4,4,2,1991,Suburban,Fair,No,745169,2,1,0,523336.0091549707
176,1159,4,2,1,1951,Suburban,Good,No,759687,2,2,0,512909.1007446152
177,3311,3,4,2,1936,Suburban,Good,Yes,698782,2,2,1,517898.90118355176
178,1869,4,2,3,1907,Suburban,Excellent,No,690102,2,0,0,560124.7479022081
179,2486,3,2,1,1943,Suburban,Fair,No,300139,2,1,0,513941.43721960246
180,646,1,3,1,1997,Suburban,Good,No,967184,2,2,0,507956.77794814383
181,3719,2,4,2,2007,Suburban,Poor,No,550228,2,3,0,519172.8363517413
182,3411,5,4,2,1904,Suburban,Fair,Yes,716217,2,1,1,517098.13058541267
183,2234,1,2,1,2017,Rural,Fair,No,747621,1,1,0,524685.9796517709
184,2343,4,2,3,1968,Suburban,Excellent,Yes,910020,2,0,1,570668.6776822074
185,988,5,1,2,1930,Rural,Poor,Yes,984499,1,3,1,548180.0160559637
186,3476,2,1,2,1944,Rural,Excellent,No,296509,1,0,0,552273.8611165623
187,2459,2,2,3,1908,Downtown,Poor,No,63580,0,3,0,557176.0893849895
188,2885,3,1,3,2005,Downtown,Excellent,Yes,592528,0,0,1,589585.0972261054
189,3419,5,1,1,1931,Rural,Poor,Yes,828639,1,3,1,523712.50804036355
190,2302,3,2,3,1932,Rural,Poor,No,395590,1,3,0,557492.542005277
191,4561,1,2,1,1966,Suburban,Poor,Yes,518968,2,3,1,514173.20033432136
192,3869,5,4,3,1929,Downtown,Good,No,940965,0,2,0,542109.8802727908
193,762,1,2,2,2013,Urban,Fair,No,828559,3,1,0,543288.2172311314
194,1123,3,2,1,1975,Downtown,Poor,Yes,533663,0,3,1,521932.3323765722
195,1516,5,3,1,1928,Rural,Good,No,478082,1,2,0,502962.1230185755
196,4143,3,4,1,1902,Rural,Good,No,655262,1,2,0,488827.30587233964
197,2549,5,4,3,1989,Suburban,Excellent,No,647689,2,0,0,549367.3393652741
198,4223,3,4,2,1956,Suburban,Fair,Yes,263165,2,1,1,522376.74435360986
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427,0,1,1,510884.42193119624
200,4590,3,2,1,1908,Suburban,Excellent,Yes,502201,2,0,1,515623.62241536536
201,2556,2,4,1,1925,Urban,Fair,No,214340,3,1,0,489311.8175817897
202,3670,3,4,1,1901,Urban,Excellent,Yes,840078,3,0,1,492745.98891545925
203,2182,5,1,2,1961,Suburban,Good,Yes,760731,2,2,1,551208.8468490669
204,2755,5,4,3,1902,Urban,Good,Yes,822411,3,2,1,535615.4515640424
205,1654,5,2,2,1945,Urban,Poor,No,354960,3,3,0,530666.3283642888
206,4999,4,2,1,1967,Downtown,Excellent,No,139460,0,0,0,523546.04875354265
207,3691,1,1,2,1924,Urban,Good,Yes,356256,3,2,1,543351.7468208551
208,2196,5,4,1,1950,Rural,Good,Yes,101048,1,2,1,499103.0711656115
209,4491,2,4,3,1912,Rural,Excellent,Yes,780806,1,0,1,545987.1230630169
210,2148,5,4,3,2002,Downtown,Good,No,182850,0,2,0,550992.3737643769
211,1945,4,3,3,1943,Suburban,Fair,Yes,882184,2,1,1,555498.4855994205
212,4699,2,4,1,1934,Downtown,Good,No,528193,0,2,0,494664.1024597315
213,4423,4,2,2,1954,Suburban,Excellent,No,907158,2,0,0,540790.3826942334
214,753,2,2,3,1986,Suburban,Fair,No,786200,2,1,0,566609.0115767787
215,3683,3,3,1,1908,Suburban,Fair,Yes,994793,2,1,1,503464.48770501895
216,3057,1,3,1,1901,Suburban,Good,Yes,356932,2,2,1,500075.31742858834
217,598,1,4,2,1960,Suburban,Poor,No,316891,2,3,0,514946.52474163607
218,2700,4,1,3,2017,Downtown,Fair,No,574333,0,1,0,584707.930298133
219,3461,1,3,1,1940,Suburban,Excellent,No,582046,2,0,0,505607.69500015426
220,4933,4,3,2,1943,Urban,Poor,No,829685,3,3,0,519116.48514313315
221,4277,4,4,3,1963,Urban,Poor,Yes,961508,3,3,1,539191.5008120937
222,3369,4,4,2,1930,Suburban,Fair,Yes,728797,2,1,1,519909.6097253854
223,3734,1,3,2,2007,Urban,Good,No,724945,3,2,0,528962.6260331894
224,4291,4,1,1,1946,Rural,Poor,No,190926,1,3,0,521077.51489603694
225,1456,1,3,1,1901,Downtown,Good,No,233148,0,2,0,501993.0481653868
226,4567,4,4,1,1995,Downtown,Fair,Yes,893382,0,1,1,508282.3524544318
227,660,5,4,2,1981,Suburban,Excellent,No,722709,2,0,0,525546.5046901098
228,4993,4,3,1,1976,Suburban,Poor,Yes,801588,2,3,1,505599.7954319955
229,1800,2,1,2,2009,Rural,Excellent,No,726708,1,0,0,560238.1190737943
230,4487,4,3,2,1968,Suburban,Good,Yes,215368,2,2,1,531115.1600958168
231,2027,3,3,1,1957,Urban,Good,Yes,544496,3,2,1,504463.7628536085
232,1718,4,4,3,2005,Rural,Excellent,No,69455,1,0,0,553935.2952900426
233,4996,2,1,3,1943,Urban,Fair,Yes,784184,3,1,1,571344.5196026037
234,3604,2,2,3,1973,Downtown,Fair,Yes,515139,0,1,1,573064.5819684522
235,3235,1,1,2,1955,Urban,Poor,Yes,281897,3,3,1,544442.1586095756
236,1454,5,3,2,1942,Downtown,Poor,Yes,482509,0,3,1,532068.3217327612
237,3946,4,3,2,1988,Urban,Fair,No,542646,3,1,0,529715.5639300905
238,1545,1,3,1,1933,Downtown,Fair,No,662840,0,1,0,508138.59316222806
239,2193,5,1,2,2000,Suburban,Excellent,No,882548,2,0,0,556892.2594575938
240,3936,4,4,1,1929,Urban,Good,No,432605,3,2,0,486921.39660914073
241,1062,3,3,1,1970,Downtown,Good,No,614772,0,2,0,510180.5309065059
242,2985,4,3,3,1969,Urban,Poor,Yes,997719,3,3,1,550295.4629749444
243,3854,2,1,3,2017,Rural,Fair,Yes,393782,1,1,1,585275.9746654665
244,725,2,2,3,1954,Suburban,Excellent,Yes,708764,2,0,1,569448.4052825354
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332,0,3,1,520789.64405774506
246,3567,1,4,1,1912,Rural,Excellent,No,150647,1,0,0,495061.3697421163
247,1315,5,4,1,1902,Urban,Fair,No,639930,3,1,0,487596.70857242844
248,3620,4,3,2,1925,Rural,Fair,Yes,786091,1,1,1,531761.2129103468
249,516,2,1,1,1956,Urban,Fair,No,882441,3,1,0,523382.1351217126
250,1743,1,3,3,1923,Suburban,Good,Yes,178824,2,2,1,550349.6150218146
251,2705,3,4,3,1952,Rural,Fair,Yes,823202,1,1,1,548734.9520722962
252,3024,2,1,1,1969,Suburban,Poor,No,866037,2,3,0,521309.77221749624
253,1569,3,1,1,1942,Downtown,Good,No,685167,0,2,0,526695.8362985279
254,3944,4,4,3,1959,Urban,Excellent,No,695115,3,0,0,542740.5399195895
255,3065,5,2,1,1957,Urban,Poor,No,317724,3,3,0,507829.61416971876
256,1560,2,2,3,1948,Suburban,Poor,No,951334,2,3,0,556867.4329080114
257,2827,2,1,2,1941,Suburban,Excellent,No,317544,2,0,0,549605.9966780789
258,3920,4,3,3,1975,Downtown,Good,No,745003,0,2,0,557069.6955028416
259,801,1,2,2,2012,Rural,Poor,Yes,801545,1,3,1,547023.9219969733
260,4776,5,3,1,1999,Urban,Poor,No,932464,3,3,0,501970.273506972
261,1106,2,2,1,1965,Urban,Poor,Yes,177319,3,3,1,512941.67544402706
262,3670,5,2,2,1910,Downtown,Good,Yes,562193,0,2,1,540120.6248483657
263,1199,2,3,1,2002,Downtown,Good,No,529389,0,2,0,513598.92409135756
264,1639,5,4,2,1997,Suburban,Good,Yes,156960,2,2,1,525676.594583445
265,690,3,2,1,1989,Suburban,Poor,No,89015,2,3,0,514660.11065963306
266,2800,2,2,3,1917,Rural,Fair,Yes,383857,1,1,1,564487.5489752366
267,1480,5,3,1,1984,Downtown,Excellent,Yes,778165,0,0,1,520870.360791493
268,3475,1,4,3,1999,Rural,Fair,Yes,982478,1,1,1,553466.6185856363
269,1684,3,2,3,2003,Downtown,Good,No,195109,0,2,0,570881.3164727639
270,3827,3,2,2,1951,Urban,Poor,Yes,527508,3,3,1,534097.8943760883
271,3894,1,4,1,1945,Downtown,Poor,Yes,836351,0,3,1,497359.97983470117
272,627,5,2,2,1943,Downtown,Fair,Yes,983671,0,1,1,547582.4560648102
273,2565,4,4,1,1921,Urban,Fair,No,138754,3,1,0,489123.3314590951
274,2316,1,4,3,1952,Downtown,Excellent,Yes,271775,0,0,1,553774.4200938651
275,1069,5,3,3,1958,Rural,Poor,No,355292,1,3,0,551228.1795497057
276,2395,1,1,1,1993,Suburban,Fair,Yes,777513,2,1,1,533129.9895686323
277,3233,1,4,1,2013,Suburban,Excellent,Yes,726894,2,0,1,507841.1011350142
278,4363,2,3,2,2006,Rural,Good,Yes,796355,1,2,1,537756.2739471922
279,4514,5,1,1,2023,Urban,Fair,No,959222,3,1,0,529789.2012018246
280,3401,4,2,1,1929,Downtown,Good,Yes,922510,0,2,1,518585.15866969596
281,2186,2,1,1,1907,Rural,Excellent,Yes,106879,1,0,1,528813.3258182887
282,3509,1,4,2,1997,Suburban,Good,Yes,169894,2,2,1,524427.0423043551
283,654,1,4,1,1956,Suburban,Poor,Yes,640127,2,3,1,494685.0875149768
284,3037,1,4,3,2010,Rural,Poor,No,79756,1,3,0,545865.3603993206
285,1909,5,4,2,1972,Suburban,Good,Yes,718043,2,2,1,522757.3880350087
286,4557,5,4,2,2014,Rural,Poor,Yes,230557,1,3,1,526473.1171186978
287,1284,2,3,3,1919,Suburban,Excellent,Yes,279303,2,0,1,555360.2318585332
288,3675,4,4,3,2003,Rural,Poor,Yes,454241,1,3,1,549086.4256703889
289,4841,2,3,3,1924,Downtown,Good,No,724075,0,2,0,550706.7980270708
290,3306,3,2,1,1918,Downtown,Good,Yes,541599,0,2,1,517250.15221398434
291,1037,1,4,3,1904,Downtown,Good,Yes,545283,0,2,1,543708.3416838209
292,2341,1,4,1,1974,Downtown,Fair,No,667231,0,1,0,502518.28127881227
293,2955,1,1,2,1978,Suburban,Good,Yes,792476,2,2,1,552295.3865820998
294,1024,2,2,2,1971,Urban,Excellent,Yes,198188,3,0,1,545022.7050475756
295,3450,2,4,3,1982,Rural,Poor,Yes,611032,1,3,1,546542.4813972249
296,4631,1,4,1,1986,Urban,Poor,No,174697,3,3,0,490099.35862593295
297,4615,2,2,3,1926,Suburban,Fair,Yes,530795,2,1,1,562224.1492986743
298,2868,5,3,3,1939,Suburban,Fair,No,690360,2,1,0,550969.5999718753
299,4347,5,4,1,1995,Urban,Excellent,No,445340,3,0,0,499480.898727795
300,4995,2,1,3,1925,Urban,Good,No,286028,3,2,0,562885.3869374575
301,3201,1,4,2,1926,Suburban,Fair,No,743411,2,1,0,515269.1228224181
302,1471,2,1,3,1961,Suburban,Poor,No,57176,2,3,0,568297.390211655
303,1666,2,1,1,1982,Rural,Fair,No,927742,1,1,0,531027.0959485904
304,3274,2,4,1,1949,Downtown,Fair,No,826653,0,1,0,499476.9968732162
305,2482,3,4,2,1941,Downtown,Good,Yes,508034,0,2,1,523939.4462820804
306,1353,5,1,1,1928,Rural,Fair,Yes,563611,1,1,1,529320.6119541744
307,4646,4,2,1,1938,Urban,Excellent,No,199748,3,0,0,512677.50678730203
308,4236,4,2,2,1959,Suburban,Poor,No,95177,2,3,0,533697.3884156926
309,4269,3,4,3,1940,Urban,Good,No,533512,3,2,0,535191.2143767163
310,1074,2,3,2,1932,Downtown,Poor,No,160623,0,3,0,526833.6031162629
311,3761,3,2,3,1982,Downtown,Excellent,No,575285,0,0,0,572870.0930789673
312,1648,3,4,2,2000,Urban,Excellent,No,502546,3,0,0,524461.665313055
313,2215,1,2,3,1982,Downtown,Fair,Yes,546184,0,1,1,574479.2302421867
314,4354,5,3,2,1996,Suburban,Fair,Yes,694467,2,1,1,537028.2735803876
315,2991,4,4,3,2010,Rural,Fair,No,297439,1,1,0,551433.1700787535
316,3160,2,3,2,1915,Urban,Poor,No,694691,3,3,0,516379.1337387221
317,3624,4,4,3,1922,Suburban,Excellent,No,978735,2,0,0,541276.0964932526
318,3551,4,3,2,1906,Suburban,Good,Yes,145287,2,2,1,524492.5809227293
319,504,5,2,1,1925,Downtown,Fair,No,169574,0,1,0,518100.3320494979
320,1376,4,2,3,1995,Suburban,Poor,Yes,830751,2,3,1,566353.0365760811
321,1491,4,3,2,1911,Urban,Fair,Yes,171509,3,1,1,525843.9067493511
322,4642,3,3,3,1971,Suburban,Excellent,Yes,397591,2,0,1,560058.5496746217
323,4864,5,3,3,1904,Rural,Good,No,945954,1,2,0,546264.3397587353
324,4965,1,4,2,2005,Suburban,Excellent,No,499181,2,0,0,526063.9744212329
325,1135,2,2,3,1991,Suburban,Poor,Yes,393288,2,3,1,565729.7418851294
326,2193,4,4,2,2016,Rural,Fair,Yes,822793,1,1,1,532626.1130225449
